aug_mixer_10_per_3_cuts,1,80283,18020,0.958,0.9492,0.1308,0.9034,0.86533,0.28674
aug_mixer_10_per_3_cuts,2,80283,17992,0.9481,0.9434,0.1564,0.9089,0.85199,0.29279
aug_mixer_10_per_3_cuts,3,80283,19032,0.9558,0.9367,0.1303,0.9137,0.87087,0.26063
aug_mixer_10_per_3_cuts,4,80283,17940,0.9569,0.9429,0.1359,0.9239,0.89682,0.2085
baseline,1,72984,18020,0.9566,0.9372,0.1354,0.9072,0.87791,0.28325
baseline,2,72984,17992,0.947,0.932,0.1463,0.9017,0.84599,0.31072
baseline,3,72984,19032,0.9458,0.932,0.1558,0.9113,0.87364,0.28235
baseline,4,72984,17940,0.9578,0.9367,0.13,0.9156,0.88525,0.22701
